x,y,width,height
172,73,20,20
201,70,20,20
237,57,20,20
272,56,20,20
322,57,20,20
362,55,20,20
391,59,20,20
464,62,20,20
498,62,20,20
532,61,20,20
565,62,20,20
617,65,20,20
651,63,20,20
689,72,20,20
109,146,20,20
148,146,20,20
186,151,20,20
229,148,20,20
271,152,20,20
312,152,20,20
346,157,20,20
440,142,20,20
482,144,20,20
518,148,20,20
555,151,20,20
610,149,20,20
648,152,20,20
682,156,20,20
112,248,20,20
149,246,20,20
185,229,20,20
220,230,20,20
285,229,20,20
320,230,20,20
353,230,20,20
433,235,20,20
473,236,20,20
512,237,20,20
551,241,20,20
611,241,20,20
643,244,20,20
689,242,20,20
